t1	t2	t3	t4	t5	m	n	p	iterations	evaluations	value		time								
final	results	rosenbrock	(new)	run:	20	1000	1.000000001	1000	606685	51665.485	-1	7.32455515	276.7166443	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	1000	1.000000001	1	21	1487792.812	101	6.67E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	1000	1	1000	227357	51666.26122	-1	7.324555546	103.1799927	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	1000	1	1	21	1487792.801	101	6.67E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	1000	1	1000	235317	51665.47689	-1	7.324555307	106.8799896	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	1000	1	1	21	1487792.801	101	6.67E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	1000	1	1000	627200	51665.48471	-1	7.324555305	285.4032898	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	1000	1	1	21	1487792.801	101	6.67E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	1000	1	1000	250905	51666.42188	-1	7.324559551	114.3466568	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	1000	1	1	21	1487792.8	101	1.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	1000	1	1000	454472	51665.46562	-1	7.324555319	208.0766449	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	1000	1	1	21	1487792.8	101	3.33E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	1000	1	1000	705621	51665.48469	-1	7.324555319	320.5032959	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	1000	1	1	21	1487792.8	101	6.67E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	10000	2	28	35	46116905.61	5.51E-03	2.49E-03	0.140000003	CONVERGENCE:	ZERO_GRAD_IN_CONV_	"HULL,"	nfree	=	5000	
final	results	rosenbrock	(Nocedal)	run:	5	10000	2	26	68	46116905.61	2.02E-06	8.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	10000	2	26	31	46116905.61	5.09E-03	1.51E-03	0.159999	CONVERGENCE:	ZERO_GRAD_IN_CONV_	"HULL,"	nfree	=	5000	
final	results	rosenbrock	(Nocedal)	run:	10	10000	2	25	67	46116905.61	4.78E-03	0.103332996	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	10000	2	26	32	46116905.61	4.62E-03	1.28E-03	0.186665997	CONVERGENCE:	ZERO_GRAD_IN_CONV_	"HULL,"	nfree	=	5000	
final	results	rosenbrock	(Nocedal)	run:	20	10000	2	28	73	46116905.61	4.98E-06	0.156665996	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	10000	1.1	481	1016	819961.0342	8.74E-03	5.48E-03	4.633332253	CONVERGENCE:	ZERO_GRAD_IN_CONV_	"HULL,"	nfree	=	4999	
final	results	rosenbrock	(Nocedal)	run:	5	10000	1.1	1	21	32786168.99	101	3.67E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	10000	1.1	1000	435934	819905.9044	-1	8.22E-02	1774.076538	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	10000	1.1	1	21	32786168.99	101	4.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	10000	1.1	1000	718350	819938.9823	-1	0.145981303	2948.90625	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	10000	1.1	1	21	32786168.99	101	4.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
